"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"e","1","2","#","#","#","924.765","270.551","-0.379","17","0.531"
"aal","3","7","3,069","1,534.500","527","785.094","337.908","0.074","32","0.941"
"Aarod","5","1","5,648","1,412.000","1,311","893.783","346.112","-0.511","23","0.719"
"ahack","5","3","3,619","904.750","949","725.576","230.338","0.174","33","1.000"
"alacus","6","1","8,672","1,734.400","1,381","735.483","219.251","0.115","29","0.853"
"acandon","7","1","13,706","2,284.333","1,458","833.394","335.571","-0.149","33","0.971"
"adandoned","9","1","18,784","2,348.000","2,231","1,491.300","571.225","-1.042","10","0.303"
"abantoning","10","1","26,588","2,954.222","2,568","909.533","352.150","-0.447","30","0.882"
"apandonment","11","1","21,072","2,107.200","1,894","841.036","233.854","-0.301","28","0.875"
"abose","5","5","4,646","1,161.500","736","819.174","236.411","-0.225","23","0.676"
"afasement","9","1","13,729","1,716.125","1,856","694.310","240.127","0.352","29","0.906"
"adash","5","2","4,332","1,083.000","680","872.160","388.163","-0.264","25","0.781"
"abape","5","3","4,319","1,079.750","659","753.531","275.268","0.132","32","0.941"
"agated","6","1","14,459","2,891.800","1,791","954.333","263.998","-0.183","12","0.400"
"abbass","6","1","4,981","996.200","521","823.000","272.218","-0.027","28","0.824"
"abboy","5","2","2,084","521.000","242","821.000","212.702","-0.141","26","0.788"
"abbit","5","1","3,974","993.500","594","801.357","241.757","-0.243","28","0.848"
"abbreviane","10","1","14,423","1,602.556","1,510","918.840","257.695","-0.690","25","0.806"
"aggreviated","11","0","21,741","2,174.100","2,076","1,268.750","542.526","-1.836","4","0.133"
"accreviation","12","0","25,465","2,315.000","2,807","867.300","243.527","-0.602","30","0.968"
"addreviations","13","0","26,490","2,207.500","2,672","862.545","354.001","-0.514","22","0.733"
"apdicate","8","1","15,433","2,204.714","2,054","819.774","274.824","-0.026","31","0.969"
"addomen","7","1","8,619","1,436.500","1,104","848.542","246.531","-0.127","24","0.750"
"addominal","9","1","15,820","1,977.500","1,923","921.545","301.057","-0.824","22","0.688"
"athuct","6","0","7,377","1,475.400","418","669.250","206.518","0.317","32","0.970"
"abdaction","9","1","16,048","2,006.000","1,866","980.357","418.254","-0.664","28","0.903"
"Ebe","3","6","1,097","548.500","25","844.654","346.590","-0.090","26","0.788"
"afed","4","3","5,288","1,762.667","232","699.219","259.062","0.337","32","1.000"
"Abem","4","4","2,875","958.333","271","819.000","257.986","-0.021","30","0.909"
"Aber's","6","1","9,222","1,844.400","805","812.870","271.500","-0.142","23","0.742"
"averrant","8","1","18,635","2,662.143","1,898","975.571","426.733","-0.492","21","0.656"
"aderration","10","1","29,574","3,286.000","3,472","937.200","453.994","-0.440","25","0.806"
"agerrations","11","1","29,773","2,977.300","3,427","978.875","319.643","-0.800","24","0.800"
"afet","4","1","2,157","719.000","192","652.206","175.230","0.447","34","1.000"
"aretted","7","2","18,413","3,068.833","2,652","819.677","310.379","0.021","31","0.939"
"abeyonce","8","1","9,824","1,403.429","994","907.719","357.218","-0.232","32","1.000"
"abhar","5","1","5,124","1,281.000","500","785.844","238.168","-0.108","32","0.914"
"athorred","8","1","19,057","2,722.429","1,908","717.800","198.721","0.175","35","1.000"
"achorrent","9","1","18,883","2,360.375","1,990","880.125","330.663","-0.190","32","1.000"
"avide","5","3","4,597","1,149.250","560","924.966","310.879","-0.497","29","0.853"
"arides","6","4","13,775","2,755.000","2,022","898.737","309.664","-0.438","19","0.633"
"ahiding","7","2","14,691","2,448.500","2,552","780.933","303.069","0.107","30","0.909"
"Abigoul","7","0","5,511","918.500","665","917.963","383.528","-0.269","27","0.900"
"abilitied","9","1","18,494","2,311.750","2,570","1,102.667","405.959","-1.002","21","0.677"
"afility","7","2","8,091","1,348.500","1,152","847.815","392.751","-0.311","27","0.871"
"anject","6","2","6,123","1,224.600","773","774.212","353.469","-0.047","33","1.000"
"aglaze","6","1","3,847","769.400","312","830.333","369.711","-0.276","18","0.581"
"ablo","4","2","3,655","1,218.333","338","650.742","181.885","0.344","31","0.939"
"agly","4","3","2,764","921.333","130","725.032","178.281","0.244","31","0.939"
"annormal","8","1","12,729","1,818.429","1,591","868.185","236.717","-0.506","27","0.871"
"atnormalities","13","1","28,569","2,380.750","1,913","983.176","286.373","-0.677","34","1.000"
"abcormality","11","1","17,198","1,719.800","1,783","841.636","166.452","-0.299","33","0.971"
"adnormally","10","1","13,156","1,461.778","1,745","1,199.600","661.740","-1.194","10","0.323"
"aboars","6","1","6,624","1,324.800","723","801.593","326.197","-0.076","27","0.818"
"afode","5","2","3,958","989.500","568","754.455","210.254","0.124","33","0.943"
"avolish","7","1","8,739","1,456.500","1,124","805.061","198.669","-0.197","33","0.971"
"asolished","9","1","16,568","2,071.000","1,991","834.774","336.383","-0.118","31","0.912"
"alolition","9","1","22,647","2,830.875","2,815","853.903","221.880","-0.482","31","0.969"
"agolitionist","12","1","27,101","2,463.727","2,471","1,031.923","309.947","-0.918","26","0.867"
"abolitionashs","13","0","24,131","2,010.917","2,481","1,170.652","329.154","-1.270","23","0.793"
"abominacle","10","1","18,140","2,015.556","2,135","938.571","359.375","-0.730","28","0.875"
"arominate","9","1","24,595","3,074.375","3,922","855.000","299.870","-0.374","27","0.844"
"avoriginal","10","1","19,049","2,116.556","2,117","793.871","191.319","-0.069","31","0.939"
"aforigine","9","1","17,016","2,127.000","2,012","717.485","283.384","0.313","33","0.971"
"anorigines","10","1","24,965","2,773.889","2,679","906.107","299.707","-0.382","28","0.933"
"agort","5","1","4,902","1,225.500","574","790.812","212.933","0.004","32","0.970"
"ahortion","8","1","16,910","2,415.714","2,022","772.926","223.868","-0.065","27","0.818"
"anortionist","11","1","27,772","2,777.200","2,391","988.800","336.642","-0.775","30","0.909"
"adortions","9","1","19,143","2,392.875","2,081","1,012.870","306.438","-0.623","23","0.742"
"abortove","8","1","9,335","1,333.571","912","1,000.515","457.062","-0.533","33","1.000"
"ahound","6","2","6,555","1,311.000","777","910.966","346.789","-0.472","29","0.906"
"agounded","8","1","13,524","1,932.000","1,612","825.633","370.494","-0.183","30","0.909"
"alounding","9","1","22,517","2,814.625","2,642","991.069","377.052","-0.643","29","0.853"
"amounds","7","2","7,617","1,269.500","704","909.625","292.046","-0.468","16","0.457"
"agout","5","1","3,762","940.500","368","757.000","239.089","0.002","30","0.938"
"abive","5","3","4,396","1,099.000","546","712.909","186.414","0.226","33","0.943"
"abovegraind","11","0","18,080","1,808.000","1,272","1,034.893","327.909","-0.850","28","0.875"
"abracadibra","11","1","14,965","1,496.500","980","933.952","408.775","-0.672","21","0.808"
"Abratam","7","1","11,694","1,949.000","1,182","925.613","205.055","-0.385","31","0.912"
"atrasion","8","1","19,243","2,749.000","1,708","792.040","218.315","0.006","25","0.781"
"acrasive","8","1","11,294","1,613.429","1,269","890.323","397.280","-0.400","31","0.939"
"acreast","7","1","13,634","2,272.333","1,590","769.219","208.517","-0.150","32","0.970"
"adridged","8","1","11,001","1,571.571","1,738","998.536","430.199","-0.387","28","0.875"
"afridgment","10","1","13,103","1,455.889","1,406","969.154","374.242","-0.486","26","0.867"
"acroad","6","1","5,874","1,174.800","693","796.613","289.138","-0.005","31","0.912"
"abrogite","8","1","11,380","1,625.714","1,427","761.562","283.212","-0.022","32","0.941"
"abrogeted","9","1","15,675","1,959.375","1,963","923.828","431.777","-0.389","29","0.879"
"acrupt","6","1","3,692","738.400","513","776.103","288.103","-0.138","29","0.879"
"agruptly","8","1","4,928","704.000","510","865.226","299.809","-0.344","31","0.912"
"adruptness","10","1","11,278","1,253.111","1,173","983.235","232.789","-0.926","17","0.548"
"atsless","7","0","15,093","2,515.500","1,626","705.206","231.691","0.209","34","1.000"
"abstesses","9","1","21,770","2,721.250","3,275","1,085.296","475.420","-1.029","27","0.897"
"abscissu","8","1","8,285","1,183.571","1,215","673.903","270.991","0.255","31","0.969"
"abscind","7","1","11,750","1,958.333","1,915","826.556","405.776","-0.154","27","0.818"
"ahsence","7","1","9,018","1,503.000","1,094","800.000","268.587","-0.197","32","1.000"
"absenles","8","1","15,106","2,158.000","2,141","851.613","260.940","-0.113","31","0.939"
"adsent","6","3","10,331","2,066.200","1,364","829.720","245.862","-0.228","25","0.758"
"afsented","8","2","18,013","2,573.286","2,451","821.030","336.347","0.099","33","0.971"
"adsentee","8","1","15,596","2,228.000","1,886","906.679","296.934","-0.447","28","0.824"
"agsenteeism","11","1","18,782","1,878.200","1,898","861.033","301.610","-0.435","30","0.968"
"axsently","8","1","10,925","1,560.714","1,364","789.156","338.473","-0.089","32","0.970"
"absentmandedly","14","1","26,054","2,004.154","2,058","1,266.545","417.320","-1.579","22","0.846"
"absinte","7","1","17,236","2,872.667","1,818","882.467","242.075","-0.370","30","0.909"
"absoluti","8","1","9,595","1,370.714","1,404","789.758","315.560","0.079","33","0.971"
"alsolutely","10","1","14,755","1,639.444","1,443","1,047.615","352.975","-0.782","13","0.406"
"atsoluteness","12","1","25,336","2,303.273","1,768","1,046.267","294.389","-0.832","30","0.909"
"absolates","9","1","18,394","2,299.250","2,351","1,115.391","484.715","-1.139","23","0.719"
"adsolution","10","1","16,960","1,884.444","2,290","1,056.917","406.205","-0.809","24","0.857"
"amsolution","10","1","16,636","1,848.444","2,200","907.094","256.313","-0.528","32","0.941"
"agsolve","7","1","5,145","857.500","598","830.969","324.805","0.035","32","0.941"
"avsorb","6","1","4,175","835.000","653","680.394","185.594","0.370","33","0.970"
"ansorbed","8","2","14,480","2,068.571","2,045","907.034","314.480","-0.364","29","0.935"
"absorbenly","10","1","11,370","1,263.333","1,549","1,057.304","352.423","-0.963","23","0.821"
"alsorbent","9","1","14,969","1,871.125","1,639","822.188","271.851","-0.202","32","0.941"
"absorbeg","8","2","6,320","902.857","937","862.667","334.416","-0.187","33","0.971"
"abserbing","9","1","21,115","2,639.375","3,444","888.375","278.802","-0.335","24","0.800"
"atsorbs","7","2","9,209","1,534.833","725","822.548","214.740","-0.044","31","0.912"
"abcorption","10","1","18,766","2,085.111","2,631","847.719","349.290","-0.262","32","0.941"
"absolltions","11","0","19,045","1,904.500","2,498","917.429","252.919","-0.713","28","0.933"
"absorptice","10","1","14,098","1,566.444","1,992","948.625","380.674","-0.551","32","0.970"
"anstain","7","1","18,595","3,099.167","2,746","842.875","341.998","-0.282","32","1.000"
"akstaining","10","1","26,159","2,906.556","3,304","803.697","233.362","-0.105","33","1.000"
"adstention","10","1","28,151","3,127.889","4,212","974.538","363.572","-0.592","26","0.897"
"abstinenle","10","1","26,098","2,899.778","3,673","1,059.656","291.336","-0.681","32","0.970"
"arstinent","9","1","28,780","3,597.500","3,793","888.700","286.066","-0.481","30","0.938"
"anstract","8","1","16,305","2,329.286","2,405","814.875","220.303","-0.138","32","0.941"
"amstracted","10","1","20,988","2,332.000","2,859","891.125","252.994","-0.294","32","0.941"
"abstractedfess","14","1","27,740","2,133.846","3,051","1,254.158","546.765","-1.307","19","0.826"
"adstracting","11","1","28,023","2,802.300","3,306","876.478","169.004","-0.472","23","0.719"
"atstraction","11","1","28,044","2,804.400","3,374","949.607","306.336","-0.688","28","0.903"
"abstrictionism","14","1","29,482","2,267.846","3,704","1,092.353","544.672","-1.162","17","0.654"
"abstractioniscs","15","1","29,342","2,095.857","3,565","1,337.091","436.398","-1.779","11","0.500"
"asstractions","12","1","27,736","2,521.455","3,667","960.037","421.199","-0.569","27","0.844"
"abstractove","11","1","16,004","1,600.400","2,235","963.129","300.764","-0.717","31","0.939"
"abstractla","10","1","14,635","1,626.111","2,135","1,086.000","422.194","-0.838","32","0.941"
"abstractops","11","1","14,619","1,461.900","2,165","987.367","355.883","-0.646","30","1.000"
"abstricts","9","1","13,794","1,724.250","2,308","930.261","307.953","-0.495","23","0.719"
"abstrise","8","1","14,147","2,021.000","2,238","830.032","285.034","-0.317","31","0.912"
"amsurd","6","1","3,984","796.800","560","852.871","286.485","-0.135","31","0.969"
"assurdities","11","1","20,438","2,043.800","2,168","969.500","272.902","-0.720","20","0.667"
"agsurdity","9","1","8,655","1,081.875","1,078","872.500","271.318","-0.256","32","0.970"
"adsurdly","8","1","6,164","880.571","855","1,058.071","471.613","-0.670","14","0.424"
"amundance","9","1","11,966","1,495.750","1,411","934.042","294.540","-0.557","24","0.727"
"abandant","8","1","14,063","2,009.000","1,636","948.929","343.624","-0.662","14","0.438"
"aluse","5","2","7,144","1,786.000","1,024","758.107","180.359","0.203","28","0.875"
"ahused","6","2","8,342","1,668.400","1,361","753.226","252.359","0.126","31","0.969"
"afuses","6","1","8,629","1,725.800","1,391","721.821","203.597","0.097","28","0.848"
"avusive","7","1","6,338","1,056.333","774","778.059","277.663","-0.042","34","1.000"
"abup","4","1","1,929","643.000","195","717.727","343.131","0.238","33","0.971"
"abutmeng","8","1","12,034","1,719.143","1,687","769.000","270.757","-0.037","34","0.971"
"adutments","9","1","12,025","1,503.125","1,421","768.656","197.075","-0.224","32","0.970"
"abysmap","7","1","4,391","731.833","487","745.355","246.706","0.102","31","0.939"
"aboss","5","1","4,186","1,046.500","502","732.214","226.640","0.080","28","0.848"
"adacia","6","1","5,155","1,031.000","828","811.926","353.002","0.040","27","0.794"
"abademic","8","1","10,110","1,444.286","1,415","848.000","247.898","-0.141","29","0.935"
"asademically","12","1","18,543","1,685.727","2,006","930.000","249.803","-0.574","30","0.968"
"academiciancrip","15","0","22,777","1,626.929","1,789","1,263.480","469.567","-1.358","25","0.926"
"apademics","9","1","10,399","1,299.875","1,531","977.276","352.427","-0.742","29","0.906"
"academiel","9","1","12,289","1,536.125","1,459","1,007.400","338.832","-0.713","30","0.909"
"afademy","7","1","5,423","903.833","866","657.515","140.812","0.308","33","0.971"
"Acadeo","6","0","7,161","1,432.200","962","841.258","280.944","-0.182","31","0.912"
"Acapulmo","8","1","6,640","948.571","721","873.143","208.494","-0.270","28","0.848"
"abbede","6","0","9,125","1,825.000","770","807.094","394.308","0.076","32","0.970"
"addeded","7","0","15,429","2,571.500","1,945","1,134.700","551.156","-0.771","20","0.690"
"accelerande","11","1","25,588","2,558.800","3,237","1,104.852","385.253","-1.027","27","0.818"
"aggelerate","10","0","25,232","2,803.556","3,293","964.444","266.174","-0.804","27","0.844"
"attelerated","11","0","36,731","3,673.100","4,113","940.750","322.490","-0.702","28","0.848"
"acceleroting","12","1","33,271","3,024.636","3,447","968.815","330.625","-0.732","27","0.818"
"addeleration","12","0","34,352","3,122.909","4,357","907.667","233.569","-0.505","27","0.871"
"accelerotions","13","1","31,427","2,618.917","3,770","1,153.875","365.276","-1.137","24","0.727"
"aggelerator","11","0","24,957","2,495.700","3,084","1,111.207","478.365","-0.787","29","0.935"
"annelerators","12","0","30,316","2,756.000","3,573","896.517","301.460","-0.501","29","0.906"
"acceleromeper","13","1","28,232","2,352.667","2,861","938.594","261.153","-0.514","32","1.000"
"accelerodeters","14","1","33,291","2,560.846","2,914","1,107.360","246.734","-1.340","25","0.806"
"appent","6","1","9,876","1,975.200","1,520","873.167","351.147","-0.308","24","0.727"
"allented","8","0","23,811","3,401.571","2,743","952.200","360.604","-0.631","25","0.781"
"accunting","9","1","22,810","2,851.250","2,982","916.565","219.063","-0.356","23","0.697"
"addents","7","0","11,698","1,949.667","1,625","784.286","189.443","0.065","28","0.824"
"accentuag","9","1","12,114","1,514.250","1,618","810.968","259.405","-0.120","31","0.969"
"aggentuate","10","0","18,820","2,091.111","2,002","802.286","255.172","-0.441","28","0.848"
"affentuated","11","0","22,277","2,227.700","2,373","961.769","409.866","-0.489","26","0.788"
"achentuates","11","1","25,805","2,580.500","2,360","914.576","361.607","-0.357","33","1.000"
"accopt","6","2","5,275","1,055.000","796","732.733","225.429","0.066","30","0.909"
"acceptabla","10","1","10,439","1,159.889","1,328","920.844","279.718","-0.414","32","0.970"
"arreptance","10","0","17,512","1,945.778","1,918","833.467","298.250","-0.320","30","0.938"
"acrepted","8","1","16,719","2,388.429","2,281","820.559","169.798","-0.212","34","0.971"
"aggepting","9","0","18,862","2,357.750","2,502","890.188","398.250","-0.388","32","0.970"
"annepts","7","0","8,167","1,361.167","1,008","837.900","324.175","-0.211","30","0.906"
"appess","6","0","9,102","1,820.400","1,283","851.706","286.424","-0.247","34","0.971"
"accessas","8","1","11,568","1,652.571","1,326","856.300","250.246","-0.226","30","0.909"
"actessible","10","1","19,746","2,194.000","2,124","953.036","372.190","-0.539","28","0.903"
"aggessions","10","0","18,962","2,106.889","1,914","1,061.538","307.617","-0.951","13","0.406"
"assessories","11","0","23,266","2,326.600","1,975","1,127.000","315.977","-1.145","6","0.188"
"accessons","9","1","16,624","2,078.000","1,770","968.222","310.086","-0.576","27","0.931"
"allessory","9","0","18,327","2,290.875","1,705","823.833","314.711","-0.152","30","0.938"
"arcident","8","1","14,664","2,094.857","1,545","842.097","320.496","-0.139","31","0.939"
"assidental","10","0","19,943","2,215.889","1,935","902.606","273.410","-0.569","33","0.971"
"accidempally","12","0","15,333","1,393.909","1,432","993.419","262.605","-0.870","31","0.912"
"arridents","9","0","17,704","2,213.000","1,907","756.828","258.442","0.022","29","0.879"
"addlaim","7","0","5,393","898.833","725","923.235","424.621","-0.271","34","1.000"
"applaimed","9","0","12,206","1,525.750","1,753","943.000","267.369","-0.675","31","0.969"
"abblaims","8","0","6,382","911.714","716","899.300","464.981","-0.223","30","0.968"
"asslamation","11","0","24,169","2,416.900","3,047","948.679","224.823","-0.673","28","0.824"
"applimate","9","0","16,046","2,005.750","2,404","935.292","409.192","-0.444","24","0.828"
"acclimotized","12","1","18,132","1,648.364","2,067","929.452","259.502","-0.655","31","0.912"
"addolade","8","0","8,814","1,259.143","1,010","818.143","286.374","-0.161","28","0.875"
"abbolades","9","0","13,403","1,675.375","1,325","897.125","316.179","-0.305","32","0.970"
"aggommodate","11","0","13,592","1,359.200","1,041","928.345","329.572","-0.529","29","0.879"
"assommodated","12","0","20,498","1,863.455","1,459","951.156","306.454","-0.834","32","0.941"
"attommodates","12","0","22,916","2,083.273","1,319","954.312","401.255","-0.494","32","0.970"
"accommodaving","13","1","19,757","1,646.417","1,143","1,049.900","308.303","-0.868","30","0.935"
"atcommodation","13","1","26,597","2,216.417","1,719","1,016.636","349.493","-0.612","33","0.971"
"arrommodations","14","0","27,246","2,095.846","1,938","958.222","261.257","-0.694","27","0.900"
"annompanied","11","0","18,580","1,858.000","1,659","918.962","368.519","-0.489","26","0.867"
"affompanies","11","0","15,161","1,516.100","1,362","799.176","193.582","-0.044","34","1.000"
"addompaniment","13","0","19,500","1,625.000","1,263","816.333","231.426","-0.328","33","1.000"
"accompanimelts","14","1","18,093","1,391.769","1,546","1,238.677","471.650","-1.369","31","0.939"
"abbompanist","11","0","16,463","1,646.300","1,172","800.968","239.312","-0.174","31","0.969"
"assompanists","12","0","19,329","1,757.182","1,417","934.194","273.781","-0.591","31","0.969"
"assompany","9","0","10,637","1,329.625","1,103","734.406","200.016","0.025","32","0.941"
"aggompanying","12","0","19,174","1,743.091","1,124","898.613","286.342","-0.466","31","0.939"
"annomplice","10","0","14,192","1,576.889","1,425","898.767","330.860","-0.398","30","0.968"
"accomplaces","11","1","16,637","1,663.700","1,446","1,080.667","285.622","-1.486","12","0.429"
"addomplish","10","0","11,519","1,279.889","1,077","868.758","304.096","-0.140","33","0.971"
"allomplished","12","0","22,058","2,005.273","1,454","885.267","325.979","-0.371","30","0.909"
"abbomplishes","12","0","17,857","1,623.364","1,124","874.000","226.459","-0.428","31","1.000"
"appomplishing","13","0","24,028","2,002.333","1,436","819.375","146.881","-0.455","24","0.750"
"aggomplishment","14","0","19,712","1,516.308","978","930.844","373.750","-0.398","32","0.941"
"accomplishmants","15","1","23,101","1,650.071","1,467","1,260.400","259.588","-1.661","10","0.323"
"attord","6","0","9,601","1,920.200","848","792.767","277.487","-0.033","30","0.909"
"addordance","10","0","12,274","1,363.778","1,537","930.667","293.243","-0.589","24","0.800"
"arrorded","8","0","16,154","2,307.714","2,171","808.577","176.960","-0.330","26","0.839"
"aggording","9","0","17,457","2,182.125","2,293","904.968","381.273","-0.135","31","0.939"
"addordingly","11","0","19,898","1,989.800","2,637","1,006.444","360.648","-0.728","27","0.818"
"accordiol","9","1","13,226","1,653.250","1,732","879.000","316.860","-0.075","28","0.903"
"allords","7","0","9,947","1,657.833","1,108","799.931","260.308","-0.052","29","0.879"
"affost","6","0","5,635","1,127.000","872","730.733","253.482","0.238","30","0.882"
"abbosted","8","0","15,235","2,176.429","2,044","795.000","198.306","-0.175","33","0.943"
"aggosting","9","0","21,385","2,673.125","2,828","876.172","325.478","-0.404","29","0.906"
"attount","7","0","12,768","2,128.000","909","785.406","331.364","0.205","32","0.941"
"accountabilisa","14","0","21,884","1,683.385","1,604","1,053.862","467.500","-0.889","29","0.935"
"assountable","11","0","17,833","1,783.300","1,463","848.500","249.752","-0.322","28","0.824"
"allountant","10","0","21,077","2,341.889","1,819","878.353","329.852","-0.382","34","1.000"
"accoundants","11","1","17,495","1,749.500","1,766","1,057.783","385.038","-0.958","23","0.767"
"allounted","9","0","21,579","2,697.375","2,262","955.034","317.888","-0.515","29","0.879"
"announting","10","1","26,788","2,976.444","2,884","1,169.500","436.806","-1.285","22","0.786"
"abbounts","8","0","9,500","1,357.143","967","816.161","259.508","-0.030","31","0.939"
"accredin","8","1","20,283","2,897.571","2,740","779.103","318.875","-0.275","29","0.853"
"accreditataun","13","0","25,824","2,152.000","2,702","1,095.100","368.366","-0.972","30","0.938"
"aggredited","10","0","23,732","2,636.889","2,789","824.240","279.400","-0.336","25","0.806"
"accree","6","1","7,896","1,579.200","1,111","809.880","231.572","-0.070","25","0.806"
"addrued","7","0","7,205","1,200.833","1,309","683.062","204.675","0.250","32","0.941"
"attrues","7","0","12,097","2,016.167","1,368","854.077","184.486","-0.264","26","0.812"
"addruing","8","0","13,567","1,938.143","2,217","809.758","226.137","-0.193","33","0.971"
"acculturaten","12","1","21,346","1,940.545","1,719","1,093.111","396.879","-0.925","27","0.844"
"accultumation","13","1","22,872","1,906.000","1,908","1,161.538","354.891","-1.115","13","0.464"
"abbumulate","10","0","14,315","1,590.556","1,346","927.000","494.320","-0.317","28","0.903"
"affumulated","11","0","18,145","1,814.500","1,623","864.385","390.804","-0.136","26","0.765"
"accumilates","11","1","20,863","2,086.300","1,973","847.111","178.271","-0.520","9","0.300"
"allumulating","12","0","29,074","2,643.091","1,970","1,134.400","581.573","-1.257","20","0.645"
"addumulation","12","0","21,728","1,975.273","2,134","894.966","343.533","-0.347","29","0.906"
"affuracy","8","0","7,148","1,021.143","1,094","826.724","311.950","-0.049","29","0.906"
"appurate","8","0","14,815","2,116.429","2,158","799.516","341.074","-0.211","31","0.939"
"atturately","10","0","21,910","2,434.444","2,280","954.034","389.117","-0.700","29","0.853"
"accupst","7","1","6,621","1,103.500","971","791.897","295.147","-0.145","29","0.853"
"accusatios","10","1","16,860","1,873.333","2,516","1,003.929","300.283","-0.837","14","0.438"
"abbusations","11","0","21,831","2,183.100","2,805","908.690","322.095","-0.452","29","0.879"
"allusative","10","0","19,198","2,133.111","2,217","920.091","295.051","-0.496","22","0.733"
"arruse","6","1","7,706","1,541.200","790","813.760","209.659","-0.180","25","0.781"
"aggused","7","0","9,384","1,564.000","1,368","877.710","324.551","-0.239","31","1.000"
"annuses","7","0","12,108","2,018.000","1,515","921.179","351.697","-0.408","28","0.824"
"allusing","8","2","19,242","2,748.857","2,584","866.458","320.371","-0.226","24","0.727"
"accusongly","10","1","15,100","1,677.778","2,043","878.242","299.253","-0.382","33","0.943"
"abbustom","8","0","9,315","1,330.714","1,097","737.645","201.723","0.178","31","1.000"
"abbustomed","10","0","15,541","1,726.778","1,651","859.333","292.752","-0.252","33","1.000"
"ake","3","11","1,229","614.500","24","733.333","245.453","0.000","27","0.818"
"acerboc","7","1","10,933","1,822.167","919","851.706","295.572","-0.411","34","0.971"
"aceg","4","1","3,530","1,176.667","292","663.875","190.227","0.482","32","0.970"
"aletate","7","1","18,287","3,047.833","1,708","984.679","364.572","-0.526","28","0.933"
"acetobe","7","1","7,033","1,172.167","713","860.387","316.251","-0.277","31","0.969"
"acetylune","9","1","9,958","1,244.750","735","963.077","292.169","-0.597","26","0.812"
"achi","4","1","4,052","1,350.667","352","712.194","229.557","0.210","31","0.969"
"athed","5","1","11,738","2,934.500","501","676.323","164.267","0.367","31","0.969"
"aspes","5","3","8,433","2,108.250","1,070","779.821","305.483","-0.136","28","0.875"
"adhieve","7","1","5,809","968.167","684","1,010.250","357.433","-0.434","24","0.727"
"ashieved","8","1","11,952","1,707.429","1,452","941.548","383.127","-0.522","31","0.912"
"athievement","11","1","19,810","1,981.000","1,122","948.167","286.424","-0.416","30","0.938"
"achievoments","12","1","16,854","1,532.182","1,153","925.697","237.250","-0.542","33","0.971"
"ashieves","8","1","11,956","1,708.000","1,260","789.129","204.614","-0.040","31","0.912"
"athieving","9","1","19,904","2,488.000","1,923","806.968","260.502","-0.284","31","0.939"
"Adhilles","8","1","13,129","1,875.571","1,761","1,045.677","554.540","-0.748","31","0.939"
"athing","6","1","17,404","3,480.800","1,076","817.552","289.275","0.032","29","0.967"
"afid","4","4","1,878","626.000","199","689.469","217.699","0.196","32","0.941"
"acidoc","6","1","4,533","906.600","518","785.333","299.414","0.077","33","0.971"
"acidaty","7","1","8,713","1,452.167","875","1,046.586","585.580","-0.623","29","0.853"
"alids","5","2","7,073","1,768.250","701","694.968","199.897","0.235","31","0.912"
"anknowledge","11","1","14,694","1,469.400","1,487","979.952","155.026","-0.911","21","0.636"
"arknowledged","12","1","18,645","1,695.000","1,560","952.364","278.809","-0.611","33","0.943"
"adknowledgement","15","1","21,565","1,540.357","1,431","1,002.571","286.075","-1.225","21","0.724"
"acknowlodges","12","1","11,923","1,083.909","727","1,282.091","364.210","-1.491","11","0.367"
"anknowledging","13","1","24,875","2,072.917","1,645","1,045.312","283.559","-1.012","16","0.516"
"acknowledgmenk","14","1","18,023","1,386.385","1,431","1,026.714","346.417","-0.994","28","0.848"
"acknowledgmonts","15","1","21,774","1,555.286","1,602","1,226.083","377.981","-1.085","12","0.387"
"alme","4","3","4,910","1,636.667","485","806.833","265.456","0.026","30","0.882"
"asne","4","2","3,894","1,298.000","509","737.875","140.598","0.055","32","0.970"
"aholyte","7","1","8,546","1,424.333","1,047","797.455","344.258","0.061","33","1.000"
"alorn","5","2","7,760","1,940.000","929","772.852","235.738","0.095","27","0.794"
"ahorns","6","3","6,345","1,269.000","845","817.533","286.577","-0.191","30","0.968"
"afoustic","8","1","14,599","2,085.571","1,838","718.581","209.741","0.073","31","0.969"
"acousticap","10","1","20,390","2,265.556","2,202","869.667","279.092","-0.428","30","0.909"
"amoustically","12","1","23,714","2,155.818","2,493","980.520","297.144","-0.734","25","0.833"
"acoustacs","9","1","14,087","1,760.875","1,455","950.071","248.656","-0.785","28","0.844"
"acquoint","8","1","12,370","1,767.143","1,699","855.700","288.577","-0.121","30","0.968"
"abquaintance","12","1","#","#","2,015","845.065","300.156","-0.245","31","0.912"
"acquainked","10","1","15,951","1,772.333","2,014","940.906","346.506","-0.598","32","0.970"
"alquiesce","9","1","#","#","1,554","841.600","313.590","-0.081","25","0.806"
"agquiesced","10","1","#","#","1,831","930.909","409.131","-0.396","22","0.815"
"apquiescence","12","1","#","#","1,795","1,125.286","482.412","-1.045","28","0.875"
"alquiescent","11","1","#","#","1,905","1,038.400","465.633","-0.675","25","0.926"
"atquire","7","1","#","#","739","806.206","244.239","-0.295","34","1.000"
"acquirad","8","1","7,437","1,062.429","884","879.625","251.965","-0.572","24","0.828"
"alquires","8","1","#","#","1,465","829.333","346.584","0.022","30","0.882"
