"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"tungaree","8","1","15,505","2,215.000","1,607","859.129","396.571","-0.299","31","0.939"
"tungeon","7","1","12,573","2,095.500","1,381","766.833","346.126","0.123","30","0.882"
"munghill","8","1","10,741","1,534.429","1,378","793.581","279.992","0.102","31","0.938"
"kunk","4","9","2,165","721.667","413","653.152","139.896","0.374","33","0.971"
"tuo","3","7","815","407.500","143","730.323","167.945","0.299","31","0.939"
"duodenug","8","1","7,975","1,139.286","1,234","741.469","234.818","0.162","32","0.970"
"duoloque","8","1","4,164","594.857","647","844.645","416.014","-0.180","31","0.939"
"gupe","4","2","2,445","815.000","660","672.500","146.249","0.236","32","0.941"
"buped","5","2","7,071","1,767.750","1,083","819.516","404.300","-0.053","31","0.939"
"duplax","6","1","3,654","730.800","691","906.931","346.472","-0.344","29","0.853"
"duplicamle","10","1","12,782","1,420.222","1,649","952.300","314.171","-0.648","30","0.938"
"juplicate","9","1","16,781","2,097.625","2,648","883.839","196.053","-0.382","31","0.912"
"muplicated","10","1","21,442","2,382.444","3,162","847.850","258.818","-0.762","20","0.714"
"ruplication","11","2","24,761","2,476.100","3,646","950.286","353.472","-0.556","28","0.848"
"duplocity","9","1","7,524","940.500","1,333","975.000","263.973","-0.670","23","0.742"
"gurable","7","2","10,443","1,740.500","1,575","764.968","246.478","0.068","31","0.939"
"huration","8","1","20,826","2,975.143","2,507","817.091","335.520","-0.139","33","1.000"
"durotions","9","1","18,508","2,313.500","2,275","878.471","312.725","-0.192","34","1.000"
"puress","6","2","12,352","2,470.400","1,809","954.105","454.728","-0.658","19","0.633"
"buring","6","5","15,560","3,112.000","2,001","1,044.765","597.723","-0.819","17","0.531"
"dask","4","10","2,212","737.333","623","946.722","293.398","-0.306","18","0.529"
"susky","5","4","2,647","661.750","931","904.667","341.036","-0.173","30","0.906"
"Dusselmorf","10","1","11,120","1,235.556","1,463","849.621","252.831","-0.130","29","0.906"
"nust","4","9","5,304","1,768.000","1,116","836.536","282.521","-0.142","28","0.848"
